DATE,CLVMNACSCAB1GQDE
1991-01-01,513641.3
1991-04-01,510922.8
1991-07-01,509807.6
1991-10-01,516359.7
1992-01-01,524218.6
1992-04-01,520245.6
1992-07-01,519339.5
1992-10-01,517666.7
1993-01-01,513850.4
1993-04-01,513711.0
1993-07-01,516847.6
1993-10-01,516429.4
1994-01-01,523539.1
1994-04-01,524793.7
1994-07-01,528488.0
1994-10-01,534761.3
1995-01-01,532949.0
1995-04-01,536852.3
1995-07-01,537758.5
1995-10-01,538037.3
1996-01-01,533646.0
1996-04-01,540825.4
1996-07-01,542637.7
1996-10-01,546750.2
1997-01-01,543892.4
1997-04-01,550932.4
1997-07-01,552605.2
1997-10-01,556787.4
1998-01-01,562015.1
1998-04-01,559575.5
1998-07-01,562224.2
1998-10-01,559924.0
1999-01-01,566389.1
1999-04-01,566389.1
1999-07-01,572731.9
1999-10-01,577401.9
2000-01-01,585661.8
2000-04-01,590401.7
2000-07-01,590122.9
2000-10-01,588380.2
2001-01-01,600282.0
2001-04-01,600003.2
2001-07-01,598748.6
2001-10-01,598260.6
2002-01-01,595193.7
2002-04-01,597772.7
2002-07-01,600560.8
2002-10-01,599794.1
2003-01-01,590924.5
2003-04-01,591551.8
2003-07-01,596082.4
2003-10-01,597755.2
2004-01-01,596709.8
2004-04-01,599776.6
2004-07-01,598522.1
2004-10-01,597964.4
2005-01-01,597981.9
2005-04-01,601188.2
2005-07-01,606276.5
2005-10-01,609134.3
2006-01-01,614989.4
2006-04-01,625584.2
2006-07-01,630463.4
2006-10-01,640012.8
2007-01-01,640413.7
2007-04-01,645780.7
2007-07-01,649126.4
2007-10-01,653308.4
2008-01-01,657490.6
2008-04-01,655887.5
2008-07-01,651705.4
2008-10-01,641319.9
2009-01-01,611277.8
2009-04-01,612253.6
2009-07-01,615669.0
2009-10-01,620199.5
2010-01-01,625235.7
2010-04-01,639315.7
2010-07-01,644543.4
2010-10-01,649771.2
2011-01-01,662370.0
2011-04-01,662997.3
2011-07-01,668852.3
2011-10-01,666691.6
2012-01-01,668085.7
2012-04-01,669479.6
2012-07-01,671361.6
2012-10-01,668364.5
2013-01-01,665315.0
2013-04-01,672424.6
2013-07-01,676188.6
2013-10-01,678140.3
2014-01-01,684744.7
2014-04-01,684744.7
2014-07-01,688229.7
2014-10-01,693805.9
2015-01-01,690251.3
2015-04-01,695339.5
2015-07-01,698476.1
2015-10-01,701542.9
2016-01-01,707432.9
2016-04-01,710569.6
2016-07-01,712381.9
2016-10-01,714960.9
2017-01-01,723569.4
2017-04-01,729703.1
2017-07-01,735070.2
2017-10-01,741761.5
2018-01-01,737457.5
2018-04-01,742685.2
2018-07-01,736830.2
2018-10-01,742685.3
2019-01-01,748000.1
2019-04-01,746745.4
2019-07-01,747581.9
2019-10-01,749533.6
2020-01-01,738869.5
2020-04-01,668816.3
2020-07-01,729041.2
2020-10-01,733572.0
2021-01-01,722802.8
2021-04-01,736743.1
2021-07-01,742528.2
2021-10-01,742319.2
2022-01-01,748243.8
2022-04-01,749010.5
2022-07-01,752007.6
